id,id_cliente,ubicacion,departamento,estado,descuento,fecha,articulo,precio,cantidad,importe,tasa,metodo_envio,nota,comentarios_adicionales
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,23617,591.87,5,2959.35,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,23556,618.94,5,3094.7,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,2241,443.99,10,4439.9,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,23396,759.19,5,3795.95,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,23467,161.43,4,645.72,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,2254,44.84,12,538.08,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,23465,166.91,6,1001.46,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,20994,66.75,12,801,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,20996,227.51,6,1365.06,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,1953,97.83,12,1173.96,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,22334,351.82,2,703.64,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,21873,432.43,4,1729.72,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,20982,86.52,6,519.12,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228239,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,20983,308.12,4,1232.48,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
