id,id_cliente,ubicacion,departamento,estado,descuento,fecha,articulo,precio,cantidad,importe,tasa,metodo_envio,nota,comentarios_adicionales
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,23030,76.84,15,1152.6,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,2153,165,6,990,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,23020,615.78,2,1231.56,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,2234,66.84,12,802.08,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,23137,889.21,2,1778.42,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,23104,194.77,2,389.54,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,23041,383.64,2,767.28,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,2162,108.33,6,649.98,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,2179,188.61,6,1131.66,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,2180,189.94,6,1139.64,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,2200,248.53,2,497.06,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,23063,722.5,2,1445,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,2191,246.03,2,492.06,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,2188,251.66,1,251.66,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,22931,446.23,6,2677.38,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
233228242,60,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",22.03.2023,22929,446.23,10,4462.3,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: Transportes Silva Mondragón y están ubicados en; Av. Rojo Gomez No.38 cp 08500 Col. Agrícola Oriental Del Iztacalco Tel:954 151 49 31"
